State,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Alabama,46000.0,42000.0,41000.0,29000.0,23000.0,25000.0,19000.0,18000.0,16000.0,15000.0,14000.0,16000.0,17000.0,16000.0,14000.0,12000.0,13000.0,12000.0,13000.0,11000.0,11000.0,9000.0,9000.0,9000.0,9000.0,8000.0,7000.0,7000.0,7600.0,7500.0,7000.0,7500.0
Arizona,80000.0,80000.0,78000.0,67000.0,75000.0,70000.0,55000.0,53000.0,52000.0,32000.0,42000.0,55000.0,52000.0,40000.0,43000.0,38000.0,35000.0,32000.0,36000.0,30000.0,30000.0,25000.0,20000.0,24000.0,23000.0,22000.0,29000.0,26000.0,34000.0,27600.0,25600.0,21750.0
Arkansas,29000.0,34000.0,34000.0,42000.0,47000.0,45000.0,50000.0,55000.0,55000.0,50000.0,50000.0,53000.0,52000.0,52000.0,50000.0,45000.0,40000.0,40000.0,36000.0,32000.0,28000.0,28000.0,24000.0,25000.0,22000.0,25000.0,22000.0,21000.0,19300.0,27000.0,23600.0,16750.0
California,540000.0,600000.0,620000.0,480000.0,550000.0,490000.0,500000.0,400000.0,420000.0,390000.0,420000.0,450000.0,465000.0,440000.0,460000.0,470000.0,480000.0,390000.0,400000.0,380000.0,340000.0,360000.0,355000.0,410000.0,370000.0,330000.0,330000.0,320000.0,847000.0,812000.0,751000.0,1145000.0
Colorado,44000.0,48000.0,50000.0,55000.0,50000.0,52000.0,53000.0,45000.0,45000.0,30000.0,35000.0,27000.0,27000.0,29000.0,26000.0,24000.0,24000.0,23000.0,28000.0,36000.0,31000.0,27000.0,28000.0,34000.0,31000.0,25000.0,26000.0,27000.0,19500.0,21900.0,25600.0,14750.0
Connecticut,2000.0,2000.0,2000.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,3450.0,2850.0,3400.0,3250.0
Delaware,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,240000.0,240000.0,250000.0,220000.0,225000.0,220000.0,200000.0,230000.0,230000.0,240000.0,240000.0,230000.0,228000.0,232000.0,220000.0,220000.0,210000.0,205000.0,160000.0,170000.0,160000.0,150000.0,170000.0,200000.0,180000.0,193000.0,220000.0,245000.0,223800.0,237000.0,213200.0,257500.0
Georgia,120000.0,115000.0,116000.0,111000.0,102000.0,85000.0,80000.0,80000.0,70000.0,75000.0,75000.0,75000.0,65000.0,55000.0,55000.0,50000.0,52000.0,63000.0,59000.0,63000.0,60000.0,65000.0,65000.0,55000.0,65000.0,59000.0,67000.0,73000.0,101000.0,100400.0,119600.0,134000.0
Hawaii,9000.0,9000.0,9000.0,10000.0,10000.0,9000.0,9000.0,9000.0,8000.0,8000.0,9000.0,8000.0,8000.0,7000.0,8000.0,7000.0,7000.0,8000.0,9000.0,10000.0,10000.0,10000.0,10000.0,10000.0,9000.0,10000.0,13000.0,15000.0,13100.0,14300.0,13400.0,14750.0
