Year,Period,State,Data Item,Value
2018,JAN THRU MAR,ALABAMA,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES",820
2018,JAN THRU MAR,ALABAMA,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN PCT OF COLONIES",11
2018,JAN THRU MAR,ARIZONA,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES","6,000"
2018,JAN THRU MAR,ARIZONA,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN PCT OF COLONIES",23
2018,JAN THRU MAR,ARKANSAS,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES","7,500"
2018,JAN THRU MAR,ARKANSAS,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN PCT OF COLONIES",34
2018,JAN THRU MAR,CALIFORNIA,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES","220,000"
2018,JAN THRU MAR,CALIFORNIA,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN PCT OF COLONIES",14
2018,JAN THRU MAR,COLORADO,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES","4,900"
2018,JAN THRU MAR,COLORADO,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN PCT OF COLONIES",23
2018,JAN THRU MAR,CONNECTICUT,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES",140
2018,JAN THRU MAR,CONNECTICUT,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN PCT OF COLONIES",5
2018,JAN THRU MAR,FLORIDA,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES","35,000"
2018,JAN THRU MAR,FLORIDA,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN PCT OF COLONIES",14
2018,JAN THRU MAR,GEORGIA,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES","25,000"
2018,JAN THRU MAR,GEORGIA,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN PCT OF COLONIES",18
2018,JAN THRU MAR,HAWAII,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES","1,600"
2018,JAN THRU MAR,HAWAII,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN PCT OF COLONIES",11
2018,JAN THRU MAR,IDAHO,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES","22,000"
2018,JAN THRU MAR,IDAHO,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN PCT OF COLONIES",13
2018,JAN THRU MAR,ILLINOIS,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES","2,400"
2018,JAN THRU MAR,ILLINOIS,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN PCT OF COLONIES",23
2018,JAN THRU MAR,INDIANA,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES","1,000"
2018,JAN THRU MAR,INDIANA,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN PCT OF COLONIES",13
2018,JAN THRU MAR,IOWA,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES","1,300"
2018,JAN THRU MAR,IOWA,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN PCT OF COLONIES",3
2018,JAN THRU MAR,KANSAS,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES",950
2018,JAN THRU MAR,KANSAS,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN PCT OF COLONIES",26
2018,JAN THRU MAR,KENTUCKY,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES","1,600"
2018,JAN THRU MAR,KENTUCKY,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN PCT OF COLONIES",29
2018,JAN THRU MAR,LOUISIANA,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES","3,600"
2018,JAN THRU MAR,LOUISIANA,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN PCT OF COLONIES",7
2018,JAN THRU MAR,MAINE,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES",240
2018,JAN THRU MAR,MAINE,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN PCT OF COLONIES",13
2018,JAN THRU MAR,MARYLAND,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES","1,500"
2018,JAN THRU MAR,MARYLAND,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN PCT OF COLONIES",19
2018,JAN THRU MAR,MASSACHUSETTS,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES","1,000"
2018,JAN THRU MAR,MASSACHUSETTS,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN PCT OF COLONIES",26
2018,JAN THRU MAR,MICHIGAN,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES","8,000"
2018,JAN THRU MAR,MICHIGAN,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN PCT OF COLONIES",24
2018,JAN THRU MAR,MINNESOTA,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES","3,900"
2018,JAN THRU MAR,MINNESOTA,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN PCT OF COLONIES",6
2018,JAN THRU MAR,MISSISSIPPI,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES","2,000"
2018,JAN THRU MAR,MISSISSIPPI,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN PCT OF COLONIES",6
2018,JAN THRU MAR,MISSOURI,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES","1,400"
2018,JAN THRU MAR,MISSOURI,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN PCT OF COLONIES",18
2018,JAN THRU MAR,MONTANA,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES",140
2018,JAN THRU MAR,MONTANA,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN PCT OF COLONIES", (Z)
2018,JAN THRU MAR,NEBRASKA,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES",430
2018,JAN THRU MAR,NEBRASKA,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN PCT OF COLONIES",3
2018,JAN THRU MAR,NEW JERSEY,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES",730
2018,JAN THRU MAR,NEW JERSEY,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN PCT OF COLONIES",11
2018,JAN THRU MAR,NEW MEXICO,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES","3,900"
2018,JAN THRU MAR,NEW MEXICO,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN PCT OF COLONIES",52
